index,date,us,uk,jp,euro,kor,ind,tw,br,gold,kor3y,kor10y,us3y,us10y
1990.0,2022-09-19,1666.199951171875,59141.23046875,111824.0,,11535.01953125,2355.659912109375,,3499.489990234375,14425.6796875,3.758,3.799,3.903,3.494
1991.0,2022-09-20,1659.699951171875,59719.73828125,112517.0,7192.7001953125,11425.0498046875,2367.85009765625,27688.419921875,3467.090087890625,14549.2998046875,3.789,3.82,3.942,3.569
1992.0,2022-09-21,1664.5999755859375,59456.78125,111936.0,7237.60009765625,11220.1904296875,2347.2099609375,27313.130859375,3491.8701171875,14424.51953125,3.86,3.903,4.011,3.534
1993.0,2022-09-22,1670.800048828125,59119.71875,114070.0,7159.5,11066.8095703125,2332.31005859375,27153.830078125,3427.139892578125,14284.6298828125,4.063,3.987,4.133,3.71
1994.0,2022-09-23,1645.300048828125,58098.921875,111716.0,7018.60009765625,10867.9296875,2290.0,26973.26025390625,3348.60009765625,14118.3798828125,4.13,4.107,4.223,3.687
1995.0,2022-09-24,1637.9667154947917,57781.020833333336,110848.66666666667,7019.400065104167,10846.259765625,2266.97998046875,26792.6904296875,3346.5867513020835,14004.9833984375,4.2,4.127,4.288333333333333,3.767333333333333
1996.0,2022-09-25,1630.6333821614583,57463.119791666664,109981.33333333333,7020.200032552083,10824.58984375,2243.9599609375,26612.12060546875,3344.5734049479165,13891.5869140625,4.2,4.127,4.353666666666666,3.8476666666666666
1997.0,2022-09-26,1623.300048828125,57145.21875,109114.0,7021.0,10802.919921875,2220.93994140625,26431.55078125,3342.56005859375,13778.1904296875,4.463,4.302,4.419,3.928
1998.0,2022-09-27,1626.699951171875,57107.51953125,108376.0,6984.60009765625,10829.5,2223.860107421875,26571.869140625,3328.64990234375,13826.58984375,4.294,4.206,4.374,3.949
1999.0,2022-09-28,1660.4000244140625,56598.28125,108451.0,7005.39990234375,11051.6396484375,2169.2900390625,26173.98046875,3335.300048828125,13466.0703125,4.216,4.231,4.156,3.737
2000.0,2022-09-29,1658.5,56409.9609375,107664.0,6881.60009765625,10737.509765625,2170.929931640625,26422.05078125,3279.0400390625,13534.259765625,4.323,4.227,4.214,3.782
2001.0,2022-09-30,1662.4000244140625,57426.921875,110037.0,6893.7998046875,10575.6201171875,2155.489990234375,25937.2109375,3318.199951171875,13424.580078125,4.214,4.109,4.285,3.829
2002.0,2022-10-01,1672.5666910807292,57214.217447916664,112069.33333333333,6898.7998046875,10655.556640625,2168.9624633789062,26030.0703125,3326.18994140625,13383.213541666666,4.185,4.082,4.227666666666667,3.767
2003.0,2022-10-02,1682.7333577473958,57001.513020833336,114101.66666666667,6903.7998046875,10735.4931640625,2182.4349365234375,26122.9296875,3334.179931640625,13341.847005208334,4.185,4.082,4.170333333333334,3.705
2004.0,2022-10-03,1692.9000244140625,56788.80859375,116134.0,6908.7998046875,10815.4296875,2195.9074096679688,26215.7890625,3342.169921875,13300.48046875,4.185,4.082,4.113,3.643
2005.0,2022-10-04,1721.0999755859375,58065.46875,116230.0,7086.5,11176.41015625,2209.3798828125,26992.2109375,3484.47998046875,13576.51953125,4.084,4.007,4.102,3.635
2006.0,2022-10-05,1711.4000244140625,58143.78515625,117198.0,7052.60009765625,11148.6396484375,2215.219970703125,27120.529296875,3447.719970703125,13801.4296875,4.142,4.068,4.166,3.755
2007.0,2022-10-06,1711.699951171875,58222.1015625,117561.0,6997.2998046875,11073.3095703125,2237.860107421875,27311.30078125,3433.449951171875,13892.0498046875,4.14,4.102,4.273,3.828
2008.0,2022-10-07,1700.5,58191.2890625,116375.0,6991.10009765625,10652.400390625,2232.840087890625,27116.109375,3375.4599609375,13702.2802734375,4.275,4.216,4.349,3.888
2009.0,2022-10-08,1689.433349609375,58124.5625,116230.33333333333,6980.5,10615.633463541666,2222.6475830078125,26937.39453125,3369.2666015625,13553.2177734375,4.278,4.21,4.3500000000000005,3.910333333333333
2010.0,2022-10-09,1678.36669921875,58057.8359375,116085.66666666667,6969.89990234375,10578.866536458334,2212.455078125,26758.6796875,3363.0732421875,13404.1552734375,4.278,4.21,4.351,3.9326666666666665
2011.0,2022-10-10,1667.300048828125,57991.109375,115941.0,6959.2998046875,10542.099609375,2202.2625732421875,26579.96484375,3356.8798828125,13255.0927734375,4.278,4.21,4.352,3.955
2012.0,2022-10-11,1678.699951171875,57147.3203125,114827.0,6885.2001953125,10426.1904296875,2192.070068359375,26401.25,3340.35009765625,13106.0302734375,4.342,4.304,4.35,3.945
